Posted On,BHK,Size,Bathroom,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Floor Level,Total Floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
2022-06-13,3,1600.0,2,True,False,5,20.0,True,False,False,False,True,False,False,False,False
2022-05-16,1,450.0,1,True,False,2,4.0,False,True,False,False,False,False,False,True,False
2022-05-23,1,400.0,1,True,False,4,5.0,False,True,False,False,False,False,False,True,False
2022-04-29,1,600.0,1,True,False,3,5.0,False,True,False,False,False,False,False,True,False
2022-04-29,2,45.0,1,False,True,2,3.0,False,True,False,True,False,False,False,True,False
2022-06-16,3,950.0,3,False,False,6,7.0,True,False,False,False,False,False,True,True,False
2022-05-14,1,416.0,1,False,True,19,20.0,False,True,False,False,False,False,False,True,False
2022-05-22,2,1000.0,1,False,True,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-08,3,1095.0,3,True,False,40,75.0,True,False,False,False,False,False,True,True,False
2022-07-04,2,1300.0,2,True,False,1,3.0,True,False,True,False,False,False,False,False,False
2022-05-19,2,1300.0,2,True,False,0,4.0,False,True,False,False,False,False,False,True,False
2022-05-19,2,850.0,1,True,False,2,4.0,True,False,False,False,False,True,False,False,True
2022-06-23,2,700.0,1,False,True,1,2.0,False,True,False,False,False,False,False,True,False
2022-05-14,1,500.0,2,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-14,1,500.0,1,False,True,1,3.0,True,False,False,False,False,True,False,False,False
2022-07-10,3,2700.0,3,False,False,23,30.0,True,False,False,False,True,False,False,False,False
2022-05-23,1,305.0,1,False,True,2,24.0,True,False,False,False,False,False,True,True,False
2022-06-03,2,700.0,1,False,True,0,2.0,True,False,False,False,False,True,False,False,False
2022-05-18,2,650.0,2,True,False,2,4.0,True,False,False,True,False,False,False,True,False
2022-06-20,1,600.0,1,True,False,1,3.0,False,True,False,False,False,False,False,True,False
2022-06-27,2,880.0,2,False,True,12,27.0,True,False,False,False,False,False,True,False,False
2022-06-29,2,750.0,2,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-23,3,2000.0,3,False,False,6,7.0,True,False,False,False,False,False,True,True,False
2022-05-16,1,520.0,1,True,False,3,4.0,False,True,True,False,False,False,False,True,False
2022-07-06,3,1233.0,4,True,False,14,68.0,True,False,False,False,False,False,True,True,False
2022-07-06,4,3115.0,5,False,False,3,3.0,False,True,False,False,True,False,False,True,False
2022-04-29,1,500.0,1,False,True,1,3.0,False,True,False,True,False,False,False,True,False
2022-04-28,1,641.0,1,False,True,3,8.0,False,True,False,False,False,False,True,True,False
2022-06-23,1,325.0,1,False,True,7,16.0,True,False,False,False,False,False,True,False,True
2022-05-15,2,2800.0,2,False,True,-1,1.0,True,False,True,False,False,False,False,False,True
2022-06-16,1,375.0,1,False,True,9,20.0,True,False,False,False,False,False,True,True,False
2022-06-10,2,600.0,2,False,True,3,4.0,False,True,False,False,True,False,False,True,False
2022-06-02,3,1742.0,2,True,False,25,35.0,False,True,False,False,True,False,False,False,True
2022-06-07,2,790.0,2,False,True,9,15.0,True,False,False,False,False,False,True,True,False
2022-06-12,3,900.0,3,True,False,1,,False,True,False,False,True,False,False,True,False
2022-05-12,2,90.0,2,True,False,0,5.0,False,True,False,False,True,False,False,True,False
2022-05-14,3,96.0,2,False,True,2,5.0,False,True,False,True,False,False,False,True,False
2022-05-22,2,600.0,2,False,True,0,2.0,False,True,True,False,False,False,False,True,False
2022-06-20,1,550.0,1,True,False,0,2.0,False,True,False,False,False,False,False,True,False
2022-05-10,2,80.0,1,True,False,3,4.0,False,True,False,True,False,False,False,True,False
2022-05-22,2,750.0,2,False,False,2,4.0,True,False,False,True,False,False,False,True,False
2022-07-07,1,450.0,1,True,False,1,4.0,True,False,False,True,False,False,False,False,False
2022-06-28,2,990.0,2,True,False,0,2.0,True,False,False,False,False,False,False,True,False
2022-05-20,2,1200.0,2,False,True,1,4.0,False,True,True,False,False,False,False,True,False
2022-06-17,3,1700.0,3,True,False,2,12.0,True,False,True,False,False,False,False,True,False
2022-06-12,2,560.0,2,True,False,1,2.0,True,False,True,False,False,False,False,False,True
2022-05-04,2,60.0,1,True,False,3,4.0,False,True,False,True,False,False,False,True,False
2022-06-29,3,1440.0,3,True,False,3,6.0,True,False,True,False,False,False,False,True,False
2022-07-07,1,450.0,1,True,False,8,13.0,True,False,False,False,False,False,True,True,False
2022-06-18,2,1325.0,2,False,False,6,8.0,False,True,False,False,True,False,False,True,False
2022-07-08,2,190.0,2,False,False,1,1.0,False,True,False,False,True,False,False,True,False
2022-07-08,2,1200.0,2,False,True,1,3.0,False,True,False,False,False,False,False,True,False
2022-05-29,1,500.0,1,False,True,0,2.0,False,True,True,False,False,False,False,True,False
2022-05-16,2,860.0,2,True,False,2,3.0,False,True,True,False,False,False,False,True,False
2022-05-29,2,1200.0,2,True,False,0,2.0,False,True,False,False,True,False,False,True,False
2022-06-22,2,720.0,2,False,True,1,2.0,True,False,True,False,False,False,False,False,True
2022-05-05,2,600.0,1,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-04-30,1,500.0,1,True,False,1,2.0,False,True,False,False,False,False,False,False,False
2022-06-04,1,200.0,1,False,True,2,3.0,False,True,False,False,False,True,False,True,False
